	Tweets_Ago	Compound	Negative	Neutral	Positive	Target	Word
23	23	-0.3182	0.084	0.916	0.0	@BBC	"RT @bbcthree: ""Think about the things you did get to do with them""

Young people on who they lost and how they'll remember them at Christma…"
24	24	0.0	0.0	1.0	0.0	@BBC	RT @BBCSpringwatch: When the kids wake you up at 6am to open presents... https://t.co/bHJ71lAg5U
25	25	0.4404	0.0	0.847	0.153	@BBC	"Doodlebugs. Where a clip show meets a sketch show and draws a funny face on it. ?

#DoodleBugs | @BBCOne |… https://t.co/5JpRtJ3zX4"
26	26	0.8016	0.0	0.729	0.271	@BBC	RT @bbcweather: #Sun starting to set on #Christmas eve, eve! Are you feeling ready for the big day yet? Some beautiful sunset shots taken b…
27	27	0.2177	0.0	0.911	0.089	@BBC	?Expectant mothers are told to change many aspects of their lives, from eating more to being careful about flying.… https://t.co/EBDw4a4jC6
28	28	0.0	0.0	1.0	0.0	@BBC	"A white-tailed sea eagle waterproofs its feathers from persistent Scottish coastal rain. ??

#ASlowOdyssey |… https://t.co/y5eeiAfbFA"
29	29	0.4019	0.0	0.87	0.13	@BBC	RT @BBCFood: Cheese straws 3 ways. Which one will you choose for your party? ? Full recipe here: https://t.co/TeImDPKYev #merrytwistmas htt…
30	30	0.0	0.0	1.0	0.0	@BBC	This group of people have a genetic condition which means they can't meet, so they've formed a virtual choir to rec… https://t.co/jsLnQPfjIG
31	31	0.4019	0.0	0.863	0.137	@BBC	RT @TWBBC: More nostalgia. Who remembers Roland Rat? Here he is on another Tomorrow's World Christmas Special https://t.co/okgvv4izU2
32	32	0.4767	0.0	0.866	0.134	@BBC	RT @BBC6Music: How will you be spending your Christmas Day? We asked one of our three wise women, Jodie Whittaker. https://t.co/8ZuMJYb619
33	33	0.0	0.0	1.0	0.0	@BBC	? What is #Hanukkah? ? https://t.co/W2iErgCMKP https://t.co/e8NlsEFgSC
34	34	0.0	0.0	1.0	0.0	@BBC	Did you know that trees communicate with each other using vast fungi networks beneath the ground? ??… https://t.co/0y5zvzuVD9
35	35	0.5423	0.0	0.809	0.191	@BBC	RT @BBC_Teach: Make your yuletide sparkle by growing some #TerrificScientific ?? Christmas crystals ?? using the power of science and some…
36	36	0.5093	0.0	0.82	0.18	@BBC	RT @BBCWthrWatchers: Welcome to Monday Weather Watchers! Lots of you out snapping already this morning. https://t.co/Z3t2J7kcQr
37	37	0.0	0.0	1.0	0.0	@BBC	"RT @BBCSport: The voting is open for #SPOTY.

It's time to have your say ?? https://t.co/DQf1YQT4L0 https://t.co/WvQYr12Ds7"
38	38	-0.4767	0.154	0.846	0.0	@BBC	"Our brains are hard-wired to believe things are worse than they really are, researchers found. 

@BBCWorldService e… https://t.co/ntMruWJYZm"
39	39	0.0	0.0	1.0	0.0	@BBC	Tonight, @McInTweet is joined by @mermhart and @NiallOfficial! Michael McIntyre's Big Show. 9pm on @BBCOne. ?… https://t.co/uXhH65iAgz
40	40	0.5994	0.0	0.769	0.231	@BBC	RT @BBCScotlandNews: Some of your beautiful pictures of Scotland this week ? ??????? https://t.co/XggeF3xTXG https://t.co/tpgXCWCUrD
41	41	0.4019	0.0	0.748	0.252	@BBC	Heading to the office Christmas party like... #FridayFeeling ? https://t.co/PdaaJAmNMZ
42	42	0.2975	0.116	0.72	0.164	@BBC	"Whilst us Brits seem totally incapable of dealing with snow, our wildlife has been having a great time. 

Here are… https://t.co/qaZWSZl2RA"
43	43	-0.1511	0.103	0.819	0.078	@BBC	"The mercury plummeted over the weekend in Scotland, reaching as low as -11.3 degrees at Dalwhinnie!
Here are your p… https://t.co/nHWTU8tAPa"
44	44	0.0	0.0	1.0	0.0	@BBC	RT @bbcthree: PLOT TWIST. #TheApprentice https://t.co/eIpXZy7Jm2
45	45	-0.0062	0.113	0.775	0.112	@BBC	RT @bbccomedy: When the help's so helpful, but you just can't stand her helping. #FirstWorldProblems #Motherland @MissDianeMorgan https://t…
46	46	0.0	0.0	1.0	0.0	@BBC	New research suggests that #ManFlu is a real thing. ? https://t.co/zMM12bFOCy
47	47	-0.34	0.134	0.787	0.079	@BBC	RT @AboutTheBBC: We're saddened to hear of the passing of Keith Chegwin who was a presenter on Multi-Coloured Swap Shop, Cheggers Plays Pop…
48	48	0.7177	0.0	0.667	0.333	@BBC	"Scotland, looking so beautiful under a blanket of ice. ?
Via @BBCScotland. https://t.co/CHUXsO10hF"
49	49	0.0	0.0	1.0	0.0	@BBC	???? Some brrrr-illiant cold snap snaps from the recent snowfall in the UK. ? https://t.co/AGS3V858KT https://t.co/xJmRwUlZlx
50	50	-0.5267	0.152	0.848	0.0	@BBC	"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…"
51	51	0.0	0.0	1.0	0.0	@BBC	"RT @bbcthree: In 2011 BBC Three made a documentary about a boy who defied his bullies. 

Now #EverybodysTalkingAboutJamie again. https://t.…"
52	52	0.8911	0.096	0.468	0.436	@BBC	"RT @BBCWthrWatchers: Ok, so #snow can be a pain ...but wow ? 
We're all feeling just a little more festive after your great efforts today!…"
53	53	0.3818	0.1	0.682	0.218	@BBC	Do you feel pressure when giving Christmas gifts? @DrRadhaModgil discusses the psychology of giving &amp; receiving gif… https://t.co/DtkRGlOvdW
54	54	0.4588	0.0	0.824	0.176	@BBC	??? Are you smarter than an 11-year-old? Take this quiz &amp; find out... https://t.co/JNbY5UN9QB https://t.co/nZWffIrmGv
55	55	-0.3612	0.143	0.857	0.0	@BBC	RT @BBCTwo: This is why you should NEVER mess with other people's things... ?? #Motherland https://t.co/59wJYnkHLz
56	56	0.0	0.0	1.0	0.0	@BBC	"RT @bbcmusic: She's the most-streamed female artist of 2017, and she's guest hosting #SLFN this week ?
@DUALIPA we cannot WAIT ?
Watch: Fri…"
57	57	0.6124	0.0	0.722	0.278	@BBC	Royal weddings: How engaged are you? Test your knowledge of royal romances. ?? https://t.co/Wfsv471V1H https://t.co/CDXEjBuXG1
58	58	0.0	0.0	1.0	0.0	@BBC	While filming in the Galapagos, the #BluePlanet2 team had a rather unexpected visitor. ?? Via @BBCEarth https://t.co/n6ZlMNFJGv
59	59	0.0	0.0	1.0	0.0	@BBC	"“You can’t really see what it is” … ?
@BBCBreakfast asked some primary school kids to judge this year’s… https://t.co/cw6ujJcHw3"
60	60	0.0	0.0	1.0	0.0	@BBC	RT @BBCNewsbeat: For six months we've been following the lives of four people on their mental health journeys. They've recorded their most…
61	61	0.6997	0.0	0.792	0.208	@BBC	RT @BBCBreakfast: The sky could be especially bright tonight... as the moon is expected to be about 7% larger and 15% brighter than usual.…
62	62	0.5106	0.178	0.471	0.351	@BBC	"Is body positivity encouraging us to be unhealthy?
Via BBC Minute. https://t.co/UcuWAuy0vc"
63	63	0.7845	0.0	0.711	0.289	@BBC	"'Learning a new language is great. It's an opportunity to speak to new people.' 
Richard is a hyperpolyglot &amp; speak… https://t.co/0eFrqwXiso"
64	64	0.8151	0.0	0.718	0.282	@BBC	"RT @BBCSpringwatch: Three wise men? 
Not quite, but we do have three ADORABLE long-eared owls in the Autumnwatch advent calendar ? https://…"
65	65	0.0	0.0	1.0	0.0	@BBC	When your birthday falls on the same day as #StAndrewsDay ? Via @BBCTheSocial https://t.co/ULr3DAJRdk
66	66	0.4019	0.0	0.891	0.109	@BBC	This simulator is designed to help train teachers in the US on what to do in the event of a school shooting. Via… https://t.co/IxWWf8I9Jy
67	67	0.0	0.0	1.0	0.0	@BBC	When Will Ferrell sang an entire Whitney Houston song at a graduation ceremony. ? ? Via @BBCOne https://t.co/LkS5FYTXKx
68	68	0.4588	0.083	0.72	0.197	@BBC	RT @TWBBC: Your phone could help stop disease epidemics. Imagine one day having a biochip which tests for diseases like Zika. (via @Wellcom…
69	69	0.0	0.0	1.0	0.0	@BBC	Shout out to the Nandem! ?? Big Shaq's collab with Nanna Moe never gets old. Via @BBCR1 https://t.co/1uIkhqknke
70	70	0.8225	0.0	0.568	0.432	@BBC	Withering wit and words of wisdom: Oscar Wilde's best quotes. ? https://t.co/mmkVPb0GGt https://t.co/XERUQWYw6E
71	71	0.4588	0.0	0.864	0.136	@BBC	Prince Harry and Meghan Markle talk to the BBC following the announcement of their engagement. Tonight on @BBCOne a… https://t.co/24rVtRTNue
72	72	0.0	0.0	1.0	0.0	@BBC	How did Prince Harry and Meghan Markle meet? ??? ? https://t.co/c7nYqoI4wM https://t.co/UcZ12qcTzt
73	73	0.2023	0.0	0.893	0.107	@BBC	'You can't mug off the Queen'. ? ? ? @MrDDyer playing Send To All with @McInTweet is brilliant.… https://t.co/OMG46hz51X
74	74	0.5106	0.0	0.752	0.248	@BBC	Fox hitches free ride on London sightseeing bus. ? ?? https://t.co/eIvAXH6jsD https://t.co/C3pGb63t5F
75	75	0.0	0.0	1.0	0.0	@BBC	The @WorldPressPhoto's Noortje Gorter discusses what makes a world-beating image. ?? https://t.co/nwRCtV15Qh https://t.co/F6kRFdEuQr
76	76	0.3182	0.0	0.905	0.095	@BBC	Curfews, incentives, and science: this is how Iceland got its young people to give up drink and drugs. ?? Via BBC W… https://t.co/sqt0y7dMEj
77	77	0.6124	0.0	0.821	0.179	@BBC	She loves @Rihanna, she tries to not listen to her own music &amp; she used to want to be a radio DJ.??? ? 10 facts abo… https://t.co/GWAxjAiTwn
78	78	-0.5106	0.191	0.809	0.0	@BBC	"When a sick baby needs to be cradled, call the 'ICU Grandpa'... ??
Via @BBCWorldService. https://t.co/NHlRqhMvp2"
79	79	0.0	0.0	1.0	0.0	@BBC	RT @bbcpress: ? Smash-hit Scandinavian drama #TheBridge crosses to @BBCTwo for its final series: https://t.co/cmaQFf7YWu https://t.co/PG408…
80	80	0.5719	0.0	0.812	0.188	@BBC	"?? @Rick_Stein's chicken burritos are packed full of flavour (&amp; delicious toppings).
Full recipe here ?… https://t.co/vOG25Gz4xr"
81	81	-0.4939	0.176	0.824	0.0	@BBC	RT @bbcthree: When you're a heroin user, every day can feel identical to the last. #Drugsland https://t.co/6MYSm8E0EP
82	82	0.0	0.0	1.0	0.0	@BBC	How much do you know about the 'Big Blue'? Put your knowledge to the test in this #BluePlanet2 quiz. ? ? ?… https://t.co/7MnLp5PLzR
83	83	-0.3412	0.179	0.821	0.0	@BBC	"RT @BBCEarth: Dolphins aren't as gentle as they appear 
#BluePlanet2 #OurBluePlanet https://t.co/OtsG0511Ov"
84	84	0.0	0.0	1.0	0.0	@BBC	This Haredi area of Jerusalem is one of the most orthodox places in the world. #ExtremeWives via @BBCTwo. https://t.co/I8qqQdbySc
85	85	0.3724	0.0	0.855	0.145	@BBC	"RT @BBCEarth: They rarely attack humans, they're warm-blooded and give birth to 'pups' 
#BluePlanet2 #OurBluePlanet https://t.co/XgLUbBVixK"
86	86	-0.1027	0.097	0.903	0.0	@BBC	How @SimonCowell stepped in to pay for a young dancer’s scoliosis surgery. Via @BBC5Live. https://t.co/DMTefMhk91
87	87	0.8807	0.0	0.537	0.463	@BBC	If #BluePlanet2 has inspired you to help protect our oceans, here's how you can help. ? https://t.co/ymro9Ia716 https://t.co/vC1qGrep3e
88	88	0.0	0.0	1.0	0.0	@BBC	RT @BBCCiN: #Pudsey pal @MrPeterAndre chats all things #CiN with backstage host @Lindsey_Chapman https://t.co/xejkXp4mbA
89	89	0.3182	0.0	0.905	0.095	@BBC	"RT @BBCCiN: ""He's back doing what an 11 year old should be doing""

This is Sam's story, told by @TessDaly

Please donate https://t.co/HkSxq…"
90	90	0.1867	0.0	0.916	0.084	@BBC	"RT @BBCCiN: Tip toe-ing his way to our Appeal Show, it's @JasonDerulo!

Don't miss it 7PM, tonight, @BBCOne #CiN https://t.co/0Qm9f3ggKX"
91	91	-0.2263	0.095	0.905	0.0	@BBC	New translations of Abu Nuwas' poetry are 'as edgy and subversive today as they were 1200 years ago.'… https://t.co/1iGwbrOdnK
92	92	-0.5994	0.331	0.502	0.167	@BBC	Life threatening stem-cell treatment to combat MS was a risk 'well worth taking', BBC journalist @CarolineWyatt say… https://t.co/ZNbl0BsJAP
93	93	-0.0772	0.157	0.699	0.144	@BBC	UK actor Keith Barron, who starred in sitcom Duty Free, has died aged 83 after a short illness.… https://t.co/NqLEC4nYnP
94	94	0.4753	0.0	0.795	0.205	@BBC	Move over Ariel! ? Bearded Canadians pose as 'mermen' for a charity calendar. https://t.co/r0xwluVo36 https://t.co/Ub36o73Pwu
95	95	0.7845	0.0	0.669	0.331	@BBC	"RT @BBCCiN: Your incredible support means we help other young people like Sam #CiN

This is his story. https://t.co/yvdGuMcI0F"
96	96	0.0	0.0	1.0	0.0	@BBC	"RT @BBCCiN: Tonight @BoyGeorge takes the stage for BBC Children in Need Rocks the 80s ?

Tune in 8:30PM @BBC One #CiN https://t.co/hXeZrBqT…"
97	97	-0.3612	0.161	0.839	0.0	@BBC	'It's remembering that we are human.' Activist @Charlie_Craggs on fighting transphobia.  ? Via @BBC5Live. https://t.co/iXsyuYvwPJ
98	98	0.0	0.0	1.0	0.0	@BBC	RT @BBCTwo: Based on the critically acclaimed memoir by @Sathnam, @sacha_dhawan stars in The Boy with the Topknot. Monday, 9pm, @BBCTwo. ht…
99	99	-0.5719	0.32	0.68	0.0	@BBC	"RT @BBCWomansHour: Searching for the fallen servicemen with no grave.?
https://t.co/VIrnAycqeg #RemembranceSunday"
0	0	0.0	0.0	1.0	0.0	@CBS	RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18
1	1	0.0857	0.144	0.699	0.157	@CBS	Stream NC State Wolfpack at Arizona State Sun Devils LIVE today at 3PM ET with a 1-month FREE trial of… https://t.co/8k50thgtip
2	2	0.9601	0.0	0.434	0.566	@CBS	RT @thepickypantry: Beautiful tribute to @GloriaEstefan on the Kennedy Center Honors. Love Mi Tierra! Amazing and inspiring what a fighter…
3	3	0.6597	0.0	0.787	0.213	@CBS	RT @survivorcbs: 6 heroes, 6 healers, 6 hustlers, but only 1 sole #Survivor. Ready to find out who it is? Tune in to the #SurvivorFinale no…
4	4	0.25	0.0	0.875	0.125	@CBS	RT @HawaiiFive0CBS: Was it all a dream? Catch up on the #H50 Fall Finale: https://t.co/PDeOIaDGqu https://t.co/msEijhSSJH
5	5	0.5423	0.0	0.863	0.137	@CBS	Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb
6	6	0.8591	0.0	0.513	0.487	@CBS	RT @BobMackie: Our friend Tim Conway never failed to make us laugh #CarolBurnett50
7	7	0.0	0.0	1.0	0.0	@CBS	Find out when #BigBrother celebrity edition, #AmazingRace, #Survivor, new drama @instinctcbs and new comedy… https://t.co/4Psl74zcCB
8	8	0.0	0.0	1.0	0.0	@CBS	"RT @AllieNY86: His voice is mesmerizing 
#BrunoMars"
9	9	0.4559	0.0	0.858	0.142	@CBS	RT @funnyordie: Live! Watch Tim Meadows and Patrick Brammall of @NoActivityCBS play themselves in new 8-bit video game! https://t.co/nXCuHO…
10	10	0.0	0.0	1.0	0.0	@CBS	? #VSFashionShow https://t.co/Vs9sktkL8c
11	11	0.0	0.0	1.0	0.0	@CBS	She's an Angel! Tonight, @Harry_Styles hits the runway at the #VSFashionShow @ 10/9c on CBS &amp; CBS All Access:… https://t.co/PowmtV0e9V
12	12	0.0	0.0	1.0	0.0	@CBS	Only 3 more days until the Angels take flight in Shanghai! Watch the #VSFashionShow Tues, Nov. 28 @ 10/9c on CBS &amp;… https://t.co/OK12P30i8k
13	13	0.0	0.0	1.0	0.0	@CBS	Only one week until you can dance the night away with Bruno Mars: 24K Magic Live at the Apollo Wed, Nov. 29 @ 10/9c… https://t.co/ZgODJ387QJ
14	14	0.4926	0.0	0.856	0.144	@CBS	Hundreds of models hope to earn their wings at the Victoria's Secret Fashion Show Casting Auditions! Take a peek be… https://t.co/B2Wmc6KWjp
15	15	0.3818	0.0	0.852	0.148	@CBS	RT @NoActivityCBS: He's focused &amp; ambitious...with nothing to do. Meet Detective Cullen. #NoActivity premieres Sunday: https://t.co/wV2EEUj…
16	16	0.0	0.0	1.0	0.0	@CBS	Buffalo viewers: Due to NFL, stream the CBS lineup on-demand at https://t.co/bbQB95EVxJ tonight. For more:… https://t.co/u9U9P7Ggqq
17	17	0.4738	0.0	0.86	0.14	@CBS	Get ready for football! Stream NFL on CBS today w/ #CBSAllAccess (not available on mobile phones). Try 1 week FREE!… https://t.co/URKV4PPKvp
18	18	0.4019	0.0	0.87	0.13	@CBS	The stakes were high when #Bull stepped in to help his college roommate. Watch the latest episode now:… https://t.co/7dAjcF4eL4
19	19	0.5837	0.0	0.76	0.24	@CBS	RT @LifeInPiecesCBS: Laughter is coming your way! #LifeInPieces returns in TWO WEEKS! https://t.co/kvHTQA3Vlk
20	20	0.6514	0.0	0.787	0.213	@CBS	Stream the #10 Auburn Tigers @ LSU Tigers LIVE today at 3:30PM ET! Try #CBSAllAccess FREE: https://t.co/FKBoknACdr https://t.co/gM5DQCN2GL
21	21	0.5859	0.0	0.806	0.194	@CBS	RT @NoActivityCBS: New original comedy from Will Ferrell, Adam McKay &amp; @FunnyorDie ft @PatrickBrammall, Tim Meadows &amp; more comes to CBS All…
22	22	0.6369	0.0	0.819	0.181	@CBS	Love The Carol Burnett Show? Find out how you can be featured on TV in The #CarolBurnett50 Anniversary Special:… https://t.co/Adh0CiZFoz
23	23	0.0	0.0	1.0	0.0	@CBS	At the edge of the universe, Discovery begins. Stream episodes 1 &amp; 2 of #StarTrekDiscovery now:… https://t.co/ZOS7gG7oO4
24	24	0.8313	0.0	0.672	0.328	@CBS	RT @MeMyselfAndICBS: What were @bibbymoynihan &amp; @jaleelwhite like at age 14? The funny friends reflect on their teen years! #MeMyselfandI h…
25	25	0.7003	0.0	0.721	0.279	@CBS	S.W.A.T. star @ShemarMoore lights up the red carpet with a smile. See all the glamorous #Emmys looks:… https://t.co/MPPQk2QVOn
26	26	0.7845	0.0	0.592	0.408	@CBS	RT @TheEmmys: Congrats #jeanmarcvallee on your Primetime #Emmy  Award for #BigLittleLies https://t.co/O9b32ehkal
27	27	0.6696	0.0	0.817	0.183	@CBS	Television’s greatest night has arrived! Watch the #Emmys tonight at 8 PM ET / 5 PM PT on CBS and CBS All Access:… https://t.co/0fKy11rhoF
28	28	0.4215	0.0	0.682	0.318	@CBS	"RT @DollyParton: It's all true ?

#ACMHonors https://t.co/4IPN93ldDl"
29	29	0.3182	0.0	0.887	0.113	@CBS	RT @startrekcbs: We embrace the unknown. Stream the world premiere of #StarTrekDiscovery Sept 24 on CBS All Access: https://t.co/H4LOVFv6DX…
30	30	0.8016	0.0	0.754	0.246	@CBS	RT @SEALTeamCBS: Heroes come in all forms. ? Tell us about the hero in your life using #MyHeroIs and we may RT you! #SEALTeam @David_Borean…
31	31	0.1867	0.0	0.902	0.098	@CBS	RT @startrekcbs: Don't miss @SonequaMG on the @colbertlateshow tonight! ?  Tune-in at 11:35/10:35c on CBS. #StarTrekDiscovery #LSSC https:/…
32	32	0.0	0.0	1.0	0.0	@CBS	RT @startrekcbs: In 1 month, explore the final frontier. Stream #StarTrekDiscovery on CBS All Access starting 9/24: https://t.co/hqh7Q8J3Sp…
33	33	0.6166	0.0	0.748	0.252	@CBS	Go wild tonight and stream #ZooCBS with a FREE trial of #CBSAllAccess: https://t.co/yKuj9e9Lm9 https://t.co/Um9oW8DW9w
34	34	0.0	0.0	1.0	0.0	@CBS	New CBS All Access series #StrangeAngel will explore science and the occult: https://t.co/cPN91MTuih #TCA17 https://t.co/xDkdJesPtx
35	35	0.3612	0.06	0.815	0.124	@CBS	RT @SalvationCBS: Is it better to warn the public that a life-threatening #asteroid is speeding toward Earth or keep it a secret? #Salvatio…
36	36	0.5707	0.0	0.83	0.17	@CBS	Congrats to all of the incredible #Emmys nominees that were announced this morning! Find out who is nominated:… https://t.co/XK3MkDppPU
37	37	0.2716	0.0	0.884	0.116	@CBS	RT @SalvationCBS: #Salvation Poll: If the world was ending, what field is most important for reestablishing society?
38	38	0.0	0.0	1.0	0.0	@CBS	RT @ZooCBS: Mitch Morgan is alive...but how? Take a sneak peek at the #ZooCBS season premiere. https://t.co/69JYr3nH1R
39	39	0.8176	0.0	0.595	0.405	@CBS	RT @BlueBloods_CBS: Celebrate #FathersDay With These Delightful @CBS Dads: https://t.co/EallhsmeSw Via: @CBSWatchMag https://t.co/LyAsBj4Ebj
40	40	-0.296	0.145	0.855	0.0	@CBS	RT @SalvationCBS: Why is no one doing anything about this? ??  #LookUp #Salvation https://t.co/cjLemiYyei
41	41	0.6369	0.0	0.656	0.344	@CBS	RT @LMZzz: Incredible in the best way possible #TonyAwards2017
42	42	0.836	0.0	0.622	0.378	@CBS	Cynthia Nixon wins Best Performance by an Actress in a Featured Role in a Play? #TonyAwards2017… https://t.co/VFVC7TKIJl
43	43	0.0	0.0	1.0	0.0	@CBS	RT @latelateshow: #LateLateLondon continues tonight with @TomCruise and @JKCorden embarking on the cruise of a lifetime. Set sail at 12:37/…
44	44	0.6476	0.0	0.751	0.249	@CBS	Experience theatre that is simply inspiring. Join us live at the #TonyAwards2017 Sunday, June 11 on CBS!… https://t.co/RnEKo5bbLR
45	45	0.1513	0.11	0.75	0.14	@CBS	RT @MadamSecretary: No one delivers a stirring speech quite like Elizabeth. Watch the #MadamSecretary season finale now: https://t.co/jGHFn…
46	46	0.1139	0.0	0.922	0.078	@CBS	RT @AmazingRaceCBS: Don't miss tonight's back-to-back #AmazingRace episodes starting at 9/8c on CBS &amp; CBS All Access: https://t.co/k2aRc3kB…
47	47	0.4588	0.0	0.824	0.176	@CBS	Stream the season finales of your favorite shows tonight on #CBSAllAccess: https://t.co/BJeTNROJA0 #NCIS #NCISNOLA https://t.co/gRtJTe7lEQ
48	48	0.3595	0.0	0.828	0.172	@CBS	Join @hayeslady LIVE before tonight’s #KevinCanWait finale with @etnow's @leanneaguilera! Watch now:… https://t.co/sOeqC3EgwZ
49	49	0.4939	0.0	0.814	0.186	@CBS	Was Elizabeth able to save Jay? Catch up on last night's #MadamSecretary now: https://t.co/5lhGZOqNnN https://t.co/49NgnrzHI2
50	50	0.6369	0.0	0.781	0.219	@CBS	Too many to count. All The Reasons Why We Love Katey Sagal On #SuperiorDonuts: https://t.co/VJIedNuoOC https://t.co/47WAYlVcAt
51	51	0.8775	0.0	0.591	0.409	@CBS	This dance party doesn't have to stop. Watch the special tribute that honored the timeless music of the #BeeGees:… https://t.co/YAHmyJFYvm
52	52	0.7163	0.0	0.585	0.415	@CBS	RT @sharonclaudia: #GRAMMYSalute #BeeGees great childhood memories!!! ???
53	53	0.8475	0.0	0.461	0.539	@CBS	RT @eah1234: Amazing #GRAMMYSalute to the #beegees already! Amazing!
54	54	0.6514	0.0	0.776	0.224	@CBS	Stream the finale of #MacGyver LIVE tonight at 8/7c with #CBSAllAccess! Try 1 Week FREE: https://t.co/NXAagyVLZn https://t.co/RTNca0WouB
55	55	0.6166	0.0	0.713	0.287	@CBS	Stream golf LIVE today with 1 week FREE of #CBSAllAccess: https://t.co/r1kzigVWLT https://t.co/QmEl8dcxIl
56	56	0.4278	0.104	0.706	0.19	@CBS	Missed episodes from this season of #Bull? Try #CBSAllAccess FREE and stream NEW episodes all season:… https://t.co/IJKg58VRPw
57	57	0.0	0.0	1.0	0.0	@CBS	The queen of country Reba McEntire takes the stage with singer-songwriter Lauren Daigle. #ACMs https://t.co/91CBO0yZNs
58	58	0.6114	0.0	0.693	0.307	@CBS	Brothers Osborne wins #ACMs Vocal Duo Of The Year! https://t.co/rgiJYocybj
59	59	0.0	0.0	1.0	0.0	@CBS	End your weekend with a star-studded night of country music. Stream the #ACMs tonight at 8/7c on #CBSAllAccess:… https://t.co/5AirgUqPhQ
60	60	0.6166	0.0	0.799	0.201	@CBS	Stream a brand new episode of #CriminalMinds LIVE tonight at 9/8c with #CBSAllAccess. Try 1 week FREE now:… https://t.co/SD8IDMx4B5
